AKASH,6010353,2022-05-23T23:59:58.177972517Z,7299420,2022-08-22T23:59:56.314311831Z
ASSETMANTLE,521364,2022-05-24T00:00:03.1787729Z,1853122,2022-08-23T00:00:05.608742136Z
BAND,6654043,2022-05-24T00:00:02.348558717Z,8958942,2022-08-23T00:00:00.77658029Z
BITCANNA,3346775,2022-05-24T00:00:02.51619934Z,4658813,2022-08-23T00:00:02.650322519Z
BITSONG,BITSONG,"height 6091844 is not available, lowest height is 6617001",7400563,2022-08-23T00:00:05.019164921Z
CERBERUS,1034149,2022-05-24T00:00:06.949961565Z,2353442,2022-08-23T00:00:03.853286143Z
CERTIK,8080801,2022-05-23T23:59:55.231318254Z,9366805,2022-08-23T00:00:00.873934145Z
CHIHUAHUA,2301027,2022-05-24T00:00:04.065448622Z,3617867,2022-08-23T00:00:06.718913892Z
COMDEX,2606054,2022-05-23T23:59:55.540170362Z,3895488,2022-08-23T00:00:04.261171453Z
COSMOS HUB,COSMOS HUB,"height 10443826 is not available, lowest height is 11645126",11761223,2022-08-23T00:00:03.630160038Z
CRESCENT,585331,2022-05-24T00:00:02.383476051Z,1981128,2022-08-23T00:00:04.141542244Z
CRYPTO.ORG,5920414,2022-05-23T23:59:54.935158076Z,7237262,2022-08-23T00:00:03.470235413Z
CUDOS,CUDOS,"height must be greater than 0, but got -348002",964479,2022-08-23T00:00:01.111151707Z
DESMOS,DESMOS,"height 5734926 is not available, lowest height is 6244501",7042521,2022-08-23T00:00:03.675069131Z
EMONEY,922869,2022-05-24T00:00:27.245181358Z,1254886,2022-08-22T23:59:32.993266801Z
EVMOS,EVMOS,"height 2145227 is not available, lowest height is 2770001",3313144,2022-08-23T00:00:06.96012626Z
FETCH.AI,5989163,2022-05-23T23:59:56.560467004Z,7296187,2022-08-22T23:59:58.55704825Z
GRAVITY BRIDGE,GRAVITY BRIDGE,"height 2092279 is not available, lowest height is 3072001",3405834,2022-08-22T23:59:57.361968471Z
INJECTIVE,INJECTIVE,"height 13154840 is not available, lowest height is 14003287",14350677,2022-08-23T00:00:05.894865888Z
IRIS,15050657,2022-05-24T00:00:00.001201657Z,16272555,2022-08-23T00:00:06.192598641Z
JUNO,JUNO,"height 3171143 is not available, lowest height is 4136532",4482156,2022-08-23T00:00:05.389749855Z
KAVA,KAVA,"height must be greater than 0, but got -94653",1219279,2022-08-22T23:59:58.992017477Z
KI CHAIN,9828926,2022-05-24T00:00:01.964424891Z,11169710,2022-08-23T00:00:05.734207836Z
KONSTELLATION,3535274,2022-05-24T00:00:01.833457351Z,4928376,2022-08-23T00:00:03.388400109Z
LUM,2311239,2022-05-24T00:00:04.838917909Z,3613101,2022-08-23T00:00:03.361201483Z
MEDIBLOC,5424860,2022-05-24T00:00:01.08279068Z,6774805,2022-08-22T23:59:59.929560532Z
NYX,1685316,2022-05-24T00:00:04.504621089Z,3051406,2022-08-23T00:00:02.83297829Z
OMNIFLIX,OMNIFLIX,"height 1386529 is not available, lowest height is 2372001",2694990,2022-08-23T00:00:04.372594144Z
PERSISTENCE,6243292,2022-05-24T00:00:04.793241684Z,7564360,2022-08-22T23:59:59.468738031Z
PROVENANCE,5648901,2022-05-24T00:00:05.514276248Z,6985120,2022-08-22T23:59:57.284938508Z
REGEN,REGEN,"height 5530323 is not available, lowest height is 5564001",6842759,2022-08-22T23:59:57.728388254Z
RIZON,3448400,2022-05-23T23:59:57.149529722Z,4728240,2022-08-22T23:59:56.938086852Z
SECRET,3528764,2022-05-24T00:00:04.805104025Z,SECRET,"height 4886513 is not available, lowest height is 4919001"
SENTINEL,SENTINEL,"height 5843698 is not available, lowest height is 6548699",7155601,2022-08-23T00:00:00.862356859Z
SIFCHAIN,6971143,2022-05-23T23:59:59.327482685Z,8258484,2022-08-23T00:00:01.325584847Z
STARGAZE,3003441,2022-05-24T00:00:04.288249853Z,4336020,2022-08-22T23:59:58.485521949Z
STARNAME,9100754,2022-05-24T00:00:01.924188796Z,10461767,2022-08-23T00:00:03.784600761Z
TGRADE,TGRADE,"height must be greater than 0, but got -473444",834972,2022-08-23T00:00:03.084462369Z
UMEE,1390561,2022-05-23T23:59:57.767103886Z,2702564,2022-08-23T00:00:01.116252288Z
OSMOSIS,4508153,2022-05-24T00:00:03.924188796Z,5701203,2022-08-23T00:00:01.570475535Z
AXELAR,2250861,2022-05-23T23:59:55.223248294Z,3545527,2022-08-23T00:00:03.167596625Z
BINANCE,242835245,2022-05-23T23:59:58.082258129Z,261868127,2022-08-23T00:00:00.219779561Z
